Appearance ,外观,,
Behavior ,行为,,
Menus and Toolbars ,菜单和工具栏,,
System Settings ,系统设置,,
File Colors ,文件颜色,,
Scopes ,范围,,
Notifications ,通知,,
Quick Lists ,快速 列表,,
Path Variables ,路径 变量,,
Keymap ,键盘映射,,
Editor Actions ,编辑器操作,,
Main Menu ,主菜单,,
Tool Windows ,工具窗口,,
External Tools ,外部工具,,
Version Control Systems ,版本 控制 系统,,
External Build Systems ,外部 构建 系统,,
Remote External Tools ,远程 外部 工具,,
Database ,数据库,,
Macros ,宏,,
Quick ListsP ,快速 列表,,
luginsOther ,其他,,
Editor ,编辑器,,
General ,常规,,
Code Editing ,代码 编辑,,
FontColor Scheme ,字体颜色 方案,,
Code Style ,代码 样式,,
Inspections ,检查,,
File and Code Templates ,文件 和 代码 模板,,
File Encodings ,文件 编码,,
Live Templates ,实时 模板,,
File Types ,文件类型,,
Copyright ,版权,,
Inlay Hints ,镶嵌 提示,,
Duplicates ,重复,,
Emmet ,查查,,
Intentions ,意图,,
Language Injections ,语言 注入,,
Natural Languages ,自然 语言,,
Reader Mode ,阅读模式,,
Text Mate Bundles ,文本 配对 包,,
TODO ,代办事项,,
Plugins ,插件,,
Changelists ,变更列表,,
Commit ,提交,,
Confirmation ,确认,,
Directory Mappings  ,目录 映射,,
File Status Colors ,文件 状态 颜色,,
Issue Navigation ,问题 导航,,
Shelf ,查查,,
Git ,给她,,
GitHub ,给她好不,,
Mercurial ,不到啊,,
Perforce ,不到啊,,
Subversion  ,版本控制,,
Build,构建，加载,,
Deployment ,部署,,
 Execution,执行,, 
Toolchains  ,工具链,,
CMake ,查查,,
Compilation Database ,编译 数据库,,
Custom Build Targets ,自定义 构建 架构,,
Makefile ,查查,,
Build Tools ,构建，加载 工具,,
Debugger ,调试器,,
Python Debugger ,Python调试器,,
Python Interpreter ,Python解释器,,
Deployment ,部署,,
Console ,控制台,,
Coverage ,报道,,
Docker ,不到啊,,
Dynamic Analysis Tools ,动态 分析 工具,,
Embedded Development ,嵌入式开发,,
Required Plugins ,需要的插件,,
Run Targets ,运行 目标,,
Trusted Locations ,信任的 位置,,
Languages & Frameworks ,语言 &框架,,
C/C++ ,查查,,
JavaScript ,查查,,
Schemas and DTDs ,模式 和,,
Markdown ,查查,,
Node.js  ,查查,,
SQL Dialects ,查查,,
SQL Resolution Scopes  ,SQL解析 范围,,
Style Sheets ,打印 表,,
TypeScript  ,查查,,
XSLT  ,查查,,
XSLT File Associations ,XSLT 文件 关联,,
Tools ,工具,,
Advanced Settings,高级 设置,,
